File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\widget\naming_wdg.py,snapshot.search_type(without the project),1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\widget\parallel_status.py,"__hidden__=my.kwargs.get(""__hidden__"")",1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\widget\statistic_wdg.py,"show_task_cal(input_name, element, date_string, column, script )",4,4,3,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\widget\statistic_wdg.py,%(e_month*month_unit + (diff_day + 1)*day_unit),1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\widget\web_wdg.py,"ProdIconSubmitWdg(""Submit"")",10,10,6,1,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\active_directory\active_directory.py,"kwargs)      self._property_map.update (dict( creationTime = convert_to_datetime, dSASignature = convert_to_hex, forceLogoff = convert_to_datetime, fSMORoleOwner = convert_to_object, lockoutDuration = convert_to_datetime, lockoutObservationWindow = convert_to_datetime, masteredBy = convert_to_objects, maxPwdAge = convert_to_datetime, minPwdAge = convert_to_datetime, modifiedCount = convert_to_datetime, modifiedCountAtLastProm = convert_to_datetime, objectSid = convert_to_sid, replUpToDateVector = convert_to_hex, repsFrom = convert_to_hex, repsTo = convert_to_hex, subRefs = convert_to_objects, wellKnownObjects = convert_to_objects )",7,7,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\app\diagnostics_wdg.py,CheckboxWdg(),11,9,6,0,2,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\app\diagnostics_wdg.py,CheckboxWdg(),22,19,14,2,3,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\app\diagnostics_wdg.py,CheckboxWdg(),25,19,13,0,6,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\app\help_wdg.py,function(view),2,2,2,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\app\help_wdg.py,function(),2,2,2,1,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\app\help_wdg.py,function(),2,2,3,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\app\help_wdg.py,function(),3,3,3,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\app\help_wdg.py,function(),3,3,3,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\app\help_wdg.py,function(),8,8,6,3,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\app\help_wdg.py,function(el),14,12,9,2,2,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\app\help_wdg.py,function(),23,20,15,3,3,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\app\help_wdg.py,function(),24,21,16,3,3,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\app\help_wdg.py,function(html),15,12,9,1,3,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\app\help_wdg.py,"function(alias, history)",45,31,25,6,13,0,1,1,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\app\help_wdg.py,"function(rel_path, history)",40,29,23,5,10,0,1,1,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\app\help_wdg.py,function(element_name),7,7,6,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\app\page_header_wdg.py,"label=project.get_value(""title"")",6,6,2,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\app\shelf_wdg.py,function(),2,2,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\app\shelf_wdg.py,"function(evt, bvr)",58,46,36,6,9,0,3,8,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\app\shelf_wdg.py,"function(evt, bvr)",56,41,35,4,10,0,5,16,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\app\shelf_wdg.py,"%(width, height)",232,158,105,12,71,0,3,10,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\app\system_info_wdg.py,"top):         top.add(DivWdg('Python Script Test', css='spt_info_title')",14,13,9,1,1,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\app\system_info_wdg.py,"top):         top.add(DivWdg('Clear Side Bar Cache ', css='spt_info_title')",12,11,6,0,1,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\app\system_info_wdg.py,Project.get_project_code(),27,23,12,2,3,0,1,5,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\app\task_wdg.py,min_height)             v_div.add(HtmlElement.br(2),6,6,3,1,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\cgapp\loader_element_wdg.py,"%(my.search_type, my.CB_NAME)",1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\chart\chart2_wdg.py,function(),2,2,2,1,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\chart\chart2_wdg.py,function(),2,2,2,1,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\chart\chart2_wdg.py,"function(x, y)",4,4,4,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\chart\chart2_wdg.py,function(),3,3,3,1,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\chart\chart2_wdg.py,function(),9,9,6,1,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\chart\chart2_wdg.py,function(),9,9,6,1,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\chart\chart2_wdg.py,"function(x, y)",7,7,4,1,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\chart\chart2_wdg.py,function(),29,20,17,3,9,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\chart\chart2_wdg.py,function(),5,4,4,1,0,0,1,4,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\chart\chart2_wdg.py,"function(start, end, color)",11,9,9,0,2,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\chart\chart2_wdg.py,"function(start, end, color)",18,14,14,0,4,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\chart\chart2_wdg.py,"function(pos, index, color, width)",24,19,18,1,5,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\chart\chart2_wdg.py,"function(x, y, size, color)",10,8,8,0,2,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\checkin\scm_dir_list_wdg.py,button.get_arrow_wdg(),1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\checkin\scm_dir_list_wdg.py,button.get_button_wdg(),1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\checkin\scm_dir_list_wdg.py,function(),78,60,44,10,13,0,5,17,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\checkin\scm_dir_list_wdg.py,"function(method, args)",28,25,20,4,3,1,0,4,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\checkin\scm_dir_list_wdg.py,function(info),12,10,9,1,1,0,1,1,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\checkin\scm_dir_list_wdg.py,function(password),4,3,1,0,0,0,1,3,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\checkin\scm_dir_list_wdg.py,function(),2,2,2,1,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\checkin\scm_dir_list_wdg.py,function(el),10,10,9,1,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\checkin\scm_dir_list_wdg.py,function(sync_path),2,2,2,1,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\checkin\scm_dir_list_wdg.py,function(repo_dir),2,2,2,1,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\checkin\scm_dir_list_wdg.py,"function(paths, description)",2,2,2,1,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\checkin\scm_dir_list_wdg.py,function(path),2,2,2,1,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\checkin\scm_dir_list_wdg.py,"function(path, changeset)",2,2,2,1,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\checkin\scm_dir_list_wdg.py,function(path),2,2,2,1,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\checkin\scm_dir_list_wdg.py,function(path),2,2,2,1,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\checkin\scm_dir_list_wdg.py,function(path),2,2,2,1,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\checkin\workspace_wdg.py,"name)             if name == workspace:                 radio.set_checked()               table.add_cell(name)             table.add_cell(c.get(""Description""))             table.add_cell(c.get(""Owner""))             table.add_cell(c.get(""Root"")",22,17,10,0,5,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\dialog_wdg.py,"IconWdg(""Close"", IconWdg.POPUP_WIN_CLOSE)",3,3,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\dialog_wdg.py,"IconWdg(""Anchor Dialog"", IconWdg.POPUP_ANCHOR)",14,14,9,1,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\menu_wdg.py,evt.page.y);                  if (Math.abs(diff),2,2,2,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\popup_wdg.py,"IconWdg(""Close"", IconWdg.POPUP_WIN_CLOSE)",3,3,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\popup_wdg.py,"IconWdg(""Minimize"", IconWdg.POPUP_WIN_MINIMIZE)",3,3,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\popup_wdg.py,function( start_el ),6,5,4,3,1,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\popup_wdg.py,function( z_start_str ),45,37,31,6,8,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\popup_wdg.py,"function( evt, bvr, mouse_411 )",3,3,3,1,0,1,0,2,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\popup_wdg.py,function( target ),13,10,9,2,3,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\popup_wdg.py,"function( popup_el_or_id, fn_name, suppress_errors )",30,27,18,11,3,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\popup_wdg.py,"function( popup_el_or_id, use_safe_position )",18,12,11,2,5,0,1,1,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\popup_wdg.py,function( popup_el_or_id ),14,9,8,2,5,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\popup_wdg.py,"function( popup_el_or_id, use_safe_position )",10,9,8,2,1,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\popup_wdg.py,function( popup_el_or_id ),8,8,6,1,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\popup_wdg.py,"function( popup, use_safe_position )",57,38,33,5,12,0,7,29,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\popup_wdg.py,function( popup_el_or_id ),5,4,4,0,1,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\popup_wdg.py,"function( evt, bvr )",158,113,95,20,27,0,18,156,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\popup_wdg.py,function(),4,4,4,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\popup_wdg.py,function(),4,4,4,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\popup_wdg.py,function( popup_el ),29,9,6,2,3,0,17,48,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\popup_wdg.py,function( popup_el ),20,2,2,0,1,0,17,48,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\popup_wdg.py,function( src_el ),9,8,6,5,1,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\popup_wdg.py,function( src_el ),2,2,2,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\popup_wdg.py,function( target ),44,25,16,7,4,1,15,149,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\popup_wdg.py,function( evt ),5,4,3,1,1,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\popup_wdg.py,"function( popup, class_tag )",8,8,6,1,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\popup_wdg.py,"function( el, title, popup_predisplay_fn, class_search_str )",44,28,21,6,10,0,6,59,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\popup_wdg.py,"function(evt, bvr, mouse_411)",8,5,6,0,3,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\popup_wdg.py,"function(evt, bvr, mouse_411)",9,6,7,0,3,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\pop_window_wdg.py,my.set_style( ' '.join( content_styles ) ),3,3,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\pop_window_wdg.py,"my.set_style(""float: left; width: %spx; "" \ ""height: %spx;"" % (resize_sz, border_adj_in_ch))",1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\pop_window_wdg.py,"my.set_style(""float: left; width: %spx; "" \ ""height: %spx;"" % (in_cw, resize_sz))",1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\pop_window_wdg.py,"my.set_style(""background-color: black; float: left; "" \ ""overflow: hidden; position: relative; "" \ ""width: %spx; height: %spx;"" % (resize_sz, resize_sz))",29,24,3,1,5,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\pop_window_wdg.py,"function( activating_el, dx, dy )",107,92,72,22,15,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\pop_window_wdg.py,"function( evt, bvr, mouse_411 )",5,4,4,0,1,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\pop_window_wdg.py,"function( evt, bvr, mouse_411 )",2,2,2,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\pop_window_wdg.py,"function( evt, bvr, mouse_411 )",5,4,4,0,1,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\pop_window_wdg.py,"function( evt, bvr, mouse_411 )",2,2,2,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\pop_window_wdg.py,"function( evt, bvr, mouse_411 )",5,4,4,0,1,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\pop_window_wdg.py,"function( evt, bvr, mouse_411 )",2,2,2,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\pop_window_wdg.py,"function( evt, bvr, mouse_411 )",28,20,19,3,6,0,2,18,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\pop_window_wdg.py,"function( evt, bvr, mouse_411 )",28,20,19,3,6,0,2,18,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\pop_window_wdg.py,function( activating_el ),22,16,13,1,4,0,2,12,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\pop_window_wdg.py,function( activating_el ),27,19,15,2,5,0,3,20,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\pop_window_wdg.py,function( activating_el ),3,3,3,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\pop_window_wdg.py,function( activating_el ),146,129,97,24,13,0,4,16,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\pop_window_wdg.py,"function( rsw_top_el, DX_or_DY, size_adj )",15,14,11,3,1,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\pop_window_wdg.py,"function( evt, bvr, mouse_411 )",25,20,18,4,5,1,0,11,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\resizable_table_wdg.py,"function( evt, bvr, mouse_411)",17,13,13,0,4,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\resizable_table_wdg.py,"function( evt, bvr, mouse_411)",38,30,23,5,7,0,1,4,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\resizable_table_wdg.py,"function( evt, bvr, mouse_411)",14,10,10,0,4,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\resizable_table_wdg.py,"function( evt, bvr, mouse_411)",25,19,16,2,5,0,1,4,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\smart_menu_wdg.py,opt.get('enabled_check_setup_key'),2,2,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\tab_wdg.py,function(),3,3,3,1,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\tab_wdg.py,function(),2,2,2,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\tab_wdg.py,function( tab_top ),7,6,5,2,0,0,1,12,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\tab_wdg.py,function( el ),7,6,5,2,0,0,1,12,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\tab_wdg.py,function(),19,14,12,3,4,0,1,2,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\tab_wdg.py,function(name),10,10,8,4,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\tab_wdg.py,function(),25,17,14,4,6,0,2,12,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\tab_wdg.py,"function(element_name, name, value)",19,16,15,1,3,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\tab_wdg.py,"function(element_name, title, class_name, kwargs, values)",125,95,78,18,20,0,10,41,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container\tab_wdg.py,function(oElement),7,7,6,2,0,0,0,0,
